"time","size_class","median","q05","q25","q75","q95"
0,"1g-10g",0,0,0,0,0
0,"10g-100g",0,0,0,0,0
0,"100g-1kg",0,0,0,0,0
0,"1kg-10kg",0,0,0,0,0
0,"10kg-100kg",0,0,0,0,0
0,">100kg",0,0,0,0,0
365,"1g-10g",0,0,0,0,0
365,"10g-100g",0,0,0,0,0
365,"100g-1kg",0,0,0,0,0
365,"1kg-10kg",0,0,0,0,0
365,"10kg-100kg",0,0,0,0,0
365,">100kg",0,0,0,0,0
730,"1g-10g",0,0,0,0,0
730,"10g-100g",0,0,0,0,0
730,"100g-1kg",0,0,0,0,0
730,"1kg-10kg",0,0,0,0,0
730,"10kg-100kg",0,0,0,0,0
730,">100kg",0,0,0,0,0
1095,"1g-10g",0,0,0,0,0
1095,"10g-100g",0,0,0,0,0
1095,"100g-1kg",0,0,0,0,0
1095,"1kg-10kg",0,0,0,0,0
1095,"10kg-100kg",0,0,0,0,0
1095,">100kg",0,0,0,0,0
1460,"1g-10g",0,0,0,0,0
1460,"10g-100g",0,0,0,0,0
1460,"100g-1kg",0,0,0,0,0
1460,"1kg-10kg",0,0,0,0,0
1460,"10kg-100kg",0,0,0,0,0
1460,">100kg",0,0,0,0,0
1825,"1g-10g",0,0,0,0,0
1825,"10g-100g",0,0,0,0,0
1825,"100g-1kg",0,0,0,0,0
1825,"1kg-10kg",0,0,0,0,0
1825,"10kg-100kg",0,0,0,0,0
1825,">100kg",0,0,0,0,0
2190,"1g-10g",0,0,0,0,0
2190,"10g-100g",0,0,0,0,0
2190,"100g-1kg",0,0,0,0,0
2190,"1kg-10kg",0,0,0,0,0
2190,"10kg-100kg",0,0,0,0,0
2190,">100kg",0,0,0,0,0
2555,"1g-10g",0,0,0,0,0
2555,"10g-100g",0,0,0,0,0
2555,"100g-1kg",0,0,0,0,0
2555,"1kg-10kg",0,0,0,0,0
2555,"10kg-100kg",0,0,0,0,0
2555,">100kg",0,0,0,0,0
2920,"1g-10g",0,0,0,0,0
2920,"10g-100g",0,0,0,0,0
2920,"100g-1kg",0,0,0,0,0
2920,"1kg-10kg",0,0,0,0,0
2920,"10kg-100kg",0,0,0,0,0
2920,">100kg",0,0,0,0,0
3285,"1g-10g",0,0,0,0,0
3285,"10g-100g",0,0,0,0,0
3285,"100g-1kg",0,0,0,0,0
3285,"1kg-10kg",0,0,0,0,0
3285,"10kg-100kg",0,0,0,0,0
3285,">100kg",0,0,0,0,0
3650,"1g-10g",0,0,0,0,0
3650,"10g-100g",0,0,0,0,0
3650,"100g-1kg",0,0,0,0,0
3650,"1kg-10kg",0,0,0,0,0
3650,"10kg-100kg",0,0,0,0,0
3650,">100kg",0,0,0,0,0
4015,"1g-10g",0,0,0,0,0
4015,"10g-100g",0,0,0,0,0
4015,"100g-1kg",0,0,0,0,0
4015,"1kg-10kg",0,0,0,0,0
4015,"10kg-100kg",0,0,0,0,0
4015,">100kg",0,0,0,0,0
4380,"1g-10g",0,0,0,0,0
4380,"10g-100g",0,0,0,0,0
4380,"100g-1kg",0,0,0,0,0
4380,"1kg-10kg",0,0,0,0,0
4380,"10kg-100kg",0,0,0,0,0
4380,">100kg",0,0,0,0,0
4745,"1g-10g",0,0,0,0,0
4745,"10g-100g",0,0,0,0,0
4745,"100g-1kg",0,0,0,0,0
4745,"1kg-10kg",0,0,0,0,0
4745,"10kg-100kg",0,0,0,0,0
4745,">100kg",0,0,0,0,0
5110,"1g-10g",0,0,0,0,0
5110,"10g-100g",0,0,0,0,0
5110,"100g-1kg",0,0,0,0,0
5110,"1kg-10kg",0,0,0,0,0
5110,"10kg-100kg",0,0,0,0,0
5110,">100kg",0,0,0,0,0
5475,"1g-10g",0,0,0,0,0
5475,"10g-100g",0,0,0,0,0
5475,"100g-1kg",0,0,0,0,0
5475,"1kg-10kg",0,0,0,0,0
5475,"10kg-100kg",0,0,0,0,0
5475,">100kg",0,0,0,0,0
5840,"1g-10g",0,0,0,0,0
5840,"10g-100g",0,0,0,0,0
5840,"100g-1kg",0,0,0,0,0
5840,"1kg-10kg",0,0,0,0,0
5840,"10kg-100kg",0,0,0,0,0
5840,">100kg",0,0,0,0,0
6205,"1g-10g",0,0,0,0,0
6205,"10g-100g",0,0,0,0,0
6205,"100g-1kg",0,0,0,0,0
6205,"1kg-10kg",0,0,0,0,0
6205,"10kg-100kg",0,0,0,0,0
6205,">100kg",0,0,0,0,0
6570,"1g-10g",0,0,0,0,0
6570,"10g-100g",0,0,0,0,0
6570,"100g-1kg",0,0,0,0,0
6570,"1kg-10kg",0,0,0,0,0
6570,"10kg-100kg",0,0,0,0,0
6570,">100kg",0,0,0,0,0
6935,"1g-10g",0,0,0,0,0
6935,"10g-100g",0,0,0,0,0
6935,"100g-1kg",0,0,0,0,0
6935,"1kg-10kg",0,0,0,0,0
6935,"10kg-100kg",0,0,0,0,0
6935,">100kg",0,0,0,0,0
7300,"1g-10g",0,0,0,0,0
7300,"10g-100g",0,0,0,0,0
7300,"100g-1kg",0,0,0,0,0
7300,"1kg-10kg",0,0,0,0,0
